squidpony.epigon.data.raw.RawWeapon	name																													
name	description	glyph:c	kind	usage	hands:i	type1	type2	group1	group2	shape	path	maneuver1	maneuver2	status1	status2	precision:i	damage:i	crit:i	influence:i	evasion:i	defense:i	luck:i	stealth:i	range:i	area:i	prepare:i		materials:s[,]	training:s[,]	culture:s[,]
meteor flail	A small, heavy weight on the end of a long vine or rope; making one is easy, but fighting with one is very hard.	!	Melee	Repeat	2	BLUNT	BLUNT	Bludgeon	Flexible	Multi	Arc	Heft	Yank	Disarm	Trip	3	6	3	5	2	0	3	0	3	0	2	=SUM(Q28:X28)+AA28+2*SUM(Y28:Z28)	Metal|Stone,Hide	Martial Arts,Whirling Death	Hueztotli,Ninja
whip	A leather bullwhip that's flexible enough to knock a weapon from the hands of nearby opponents.	∫	Melee	Repeat	1	BLUNT	SLASHING	Flexible	Flexible	Multi	Arc	Lunge	Yank	Disarm	Trip	4	1	4	6	3	0	4	0	2	0	4	=SUM(Q29:X29)+AA29+2*SUM(Y29:Z29)	Hide	Whirling Death	Hidzaajji,Mobyuld
chain	A metal chain that can be spun to deliver painful strikes, and can wrap around an enemy's weapon to relieve him of it.	∫	Melee	Repeat	1	BLUNT	BLUNT	Flexible	Flexible	Sweep	Straight	Parry	Yank	Trip	Disable	4	4	3	2	5	1	4	0	0	2	3	=SUM(Q30:X30)+AA30+2*SUM(Y30:Z30)	Metal	Whirling Death	Chobesh,Cheuritae
sai	A martial-arts weapon with three curving spikes that provide ample ability to disarm foes.	⍦	Melee	Repeat	1	PIERCING	PIERCING	Dueling	Dueling	Multi	Straight	Thrust	Yank	Disarm	Impale	4	2	2	3	6	2	1	4	0	0	6	=SUM(Q31:X31)+AA31+2*SUM(Y31:Z31)	Metal	Martial Arts,Foresight	Ninja
trident	A fishing spear adapted for gladiatorial and maritime combat, the trident has three barbed prongs on a mid-size pole.	⍦	Melee	Repeat	2	PIERCING	PIERCING	Polearm	Dueling	Multi	Straight	Brace	Hurl	Impale	Bleed	3	6	2	1	4	4	4	0	1	0	4	=SUM(Q32:X32)+AA32+2*SUM(Y32:Z32)	Metal,Wood	Foresight,Naturalism	Cheuritae
sickle	A lightweight, deeply-curved blade that can be used for severing plant roots, or a foe's limbs, as well as disarming.	ʕ	Melee	Repeat	1	SLASHING	SLASHING	Blade	Axe	Sweep	Straight	Chop	Yank	Sever	Trip	4	4	5	4	0	1	5	2	0	1	3	=SUM(Q33:X33)+AA33+2*SUM(Y33:Z33)	Metal	Naturalism,Swordplay	Chobesh,Ugexiir
khopesh	A sword-like weapon with a heavy blade that goes straight and then curves; challenging to wield and to confront.	ʕ	Melee	Repeat	1	SLASHING	SLASHING	Blade	Axe	Sweep	Straight	Heft	Yank	Sever	Trip	3	8	6	3	1	3	2	0	0	1	2	=SUM(Q34:X34)+AA34+2*SUM(Y34:Z34)	Metal	Swordplay,Brutality	Hidzaajji,Krort
scythe	A hook-bladed farming tool meant for slicing wide swaths of grain, adapted to slicing wide swaths in necks.	ʕ	Melee	Repeat	2	SLASHING	SLASHING	Blade	Axe	Sweep	Straight	Chop	Sweep	Slay	Sever	2	8	9	5	0	0	0	0	0	2	2	=SUM(Q35:X35)+AA35+2*SUM(Y35:Z35)	Metal,Wood	Naturalism,Brutality	Chobesh,Ugexiir
light shield	A shield that's meant for actively parrying and blocking enemy attacks, mixing in quick jabs with the edge of the shield.	⊕	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Dueling	Multi	Straight	Parry	Blur	Confound	Disarm	3	4	0	2	9	7	3	0	0	0	2	=SUM(Q36:X36)+AA36+2*SUM(Y36:Z36)	Hide|Metal|Wood	Foresight,Naturalism	Hueztotli,Cheuritae
heavy shield	A large shield that's effective at defending even while barely moving, but it's hard to precisely wield one.	⊕	Melee	Repeat	1	BLUNT	BLUNT	Bludgeon	Bludgeon	Multi	Straight	Parry	Heft	Confound	Sunder	2	7	0	3	7	9	1	0	0	0	1	=SUM(Q37:X37)+AA37+2*SUM(Y37:Z37)	Metal|Wood	Foresight	Hyrden,Keungeuh
macahuitl	A heavy wooden shaft that's been augmented with razor-sharp stone blades along its edge; incredibly dangerous.	≢	Melee	Repeat	2	SLASHING	BLUNT	Blade	Bludgeon	Sweep	Straight	Heft	Sweep	Sever	Slay	1	9	9	3	0	0	5	0	0	1	1	=SUM(Q38:X38)+AA38+2*SUM(Y38:Z38)	Wood,Stone	Brutality,Naturalism	Hueztotli
shortbow	A smaller bow that isn't as unwieldy in close-quarters combat as a Longbow, and isn't as conspicuous when carried.	(	Ranged	Projectile	2	PIERCING	PIERCING	Forceful	Forceful	Multi	Arc	Pin	Arrows	Impale	Disable	4	4	2	4	1	0	1	1	4	0	5	=SUM(Q39:X39)+AA39+2*SUM(Y39:Z39)	Wood,Hide	Marksmanship,Naturalism	Otekai,Mobyuld
longbow	A very large bow, usually taller than its wielder, that boasts tremendous range and hefty power.	(	Ranged	Projectile	2	PIERCING	PIERCING	Forceful	Forceful	Multi	Arc	Heave	Arrows	Impale	Slay	3	5	1	4	0	0	1	0	6	0	4	=SUM(Q40:X40)+AA40+2*SUM(Y40:Z40)	Wood,Hide	Marksmanship,Naturalism	Khainghal,Elethian
light crosssbow	A small machine that launches a bolt with the pull of a trigger; slow to reload, but capable of piercing thick armor.	⊢	Ranged	Projectile	1	PIERCING	PIERCING	Precise	Precise	Beam	Straight	Weave	Bolts	Impale	Disable	6	5	2	1	0	1	0	1	5	1	2	=SUM(Q41:X41)+AA41+2*SUM(Y41:Z41)	Wood	Marksmanship	Laathrik,Zedmedov
heavy crossbow	A weighty machine that can launch a bolt in an instant, but takes a long time to reload; makes up for it with huge power.	⊢	Ranged	Projectile	2	PIERCING	PIERCING	Precise	Precise	Beam	Straight	Weave	Bolts	Impale	Slay	5	7	1	1	0	1	0	0	6	1	1	=SUM(Q42:X42)+AA42+2*SUM(Y42:Z42)	Wood	Marksmanship	Cheuritae,Keungeuh
pistol	This hand-held firearm is very imprecise, but that doesn't always hinder it because its bullet keeps bouncing after missing.	ᵣ	Ranged	Projectile	1	PIERCING	PIERCING	Precise	Precise	Multi	Straight	Ricochet	Powder	Slay	Confound	3	8	7	1	0	0	0	3	4	0	0	=SUM(Q43:X43)+AA43+2*SUM(Y43:Z43)	Metal	Marksmanship,Elegance	Jalgeaux,Cheuritae
musket	A heavy two-handed firearm with better accuracy than a Pistol and longer range, but more lengthy reload times.	ɼ	Ranged	Projectile	2	PIERCING	PIERCING	Precise	Precise	Multi	Straight	Ricochet	Powder	Slay	Confound	2	9	8	1	0	0	0	0	5	0	0	=SUM(Q44:X44)+AA44+2*SUM(Y44:Z44)	Metal	Marksmanship,Elegance	Zedmedov,Jalgeaux
sling	An early stone-hurling weapon made from cord and hide, it has considerably better range than throwing a rock by hand.	⍩	Ranged	Projectile	1	BLUNT	BLUNT	Forceful	Forceful	Multi	Arc	Yank	Pellets	Confound	Slay	3	3	2	5	2	0	2	4	3	0	3	=SUM(Q45:X45)+AA45+2*SUM(Y45:Z45)	Hide	Hurling,Naturalism	Ikkutiq,Cheuritae
staff sling	A curved staff with cords to hold a projectile at one end, this weapon improves a Sling's range even further.	Ḯ	Ranged	Projectile	2	BLUNT	BLUNT	Forceful	Forceful	Multi	Arc	Pound	Pellets	Confound	Slay	2	4	2	5	0	2	1	1	5	0	3	=SUM(Q46:X46)+AA46+2*SUM(Y46:Z46)	Hide	Hurling,Foresight	Ikkutiq
chakram	A bladed hoop with just as much use at medium range as in melee combat, it can be drawn quickly and thrown far.	°	Ranged	Thrown	1	SLASHING	SLASHING	Blade	Forceful	Multi	Straight	Chop	Blur	Sever	Disable	5	5	5	3	0	4	0	0	2	0	4	=SUM(Q47:X47)+AA47+2*SUM(Y47:Z47)	Metal	Martial Arts,Hurling	Bididhayi
boomerang	A chunk of hard wood, carefully fashioned into a hunting weapon that spins all around the target when it misses.	❮	Ranged	Thrown	1	BLUNT	BLUNT	Bludgeon	Forceful	Sweep	Arc	Pound	Ricochet	Confound	Disarm	4	3	1	4	1	3	4	1	3	0	3	=SUM(Q48:X48)+AA48+2*SUM(Y48:Z48)	Wood	Hurling,Naturalism	Ugexiir
javelin	A very light spear that's primarily meant for throwing, but can be used as a melee weapon in desperate situations.	↗	Ranged	Thrown	1	PIERCING	PIERCING	Polearm	Forceful	Multi	Arc	Pin	Thrust	Impale	Disable	5	5	1	3	1	0	3	1	4	0	3	=SUM(Q49:X49)+AA49+2*SUM(Y49:Z49)	Wood	Hurling,Naturalism	Cheuritae,Mbegonda
atlatl	A simple-looking device that enables a spear to be thrown much further, and with greater precision, than it can by hand.	⋁	Ranged	Projectile	2	PIERCING	PIERCING	Forceful	Polearm	Multi	Arc	Heave	Darts	Impale	Slay	4	9	2	2	0	0	1	0	5	0	2	=SUM(Q50:X50)+AA50+2*SUM(Y50:Z50)	Wood	Hurling,Naturalism	Hueztotli
shuriken	A throwing weapon, shaped like a star or tiny blade, that deals pitiful damage but can be laced with poison.	★	Ranged	Thrown	1	PIERCING	POISON	Dueling	Precise	Multi	Straight	Pin	Blur	Disable	Afflict	3	1	1	6	1	0	0	6	2	1	6	=SUM(Q51:X51)+AA51+2*SUM(Y51:Z51)	Metal	Assassination	Ninja
blowgun	A simple projectile weapon that allows a quick exhalation to propel a needle at the target; usually the needle is poisoned.	⁻	Ranged	Projectile	1	POISON	PIERCING	Precise	Precise	Multi	Straight	Weave	Needles	Afflict	Slay	4	1	2	6	0	0	5	6	2	0	2	=SUM(Q52:X52)+AA52+2*SUM(Y52:Z52)	Wood	Assassination,Naturalism	Ninja,Hueztotli
bolas	A pair of weights linked with a cord that can be thrown with a spinning motion to entangle a target's legs or arms.	ʊ	Ranged	Thrown	1	BLUNT	BLUNT	Flexible	Forceful	Multi	Arc	Yank	Pin	Trip	Disarm	3	2	0	6	3	0	4	3	3	0	3	=SUM(Q53:X53)+AA53+2*SUM(Y53:Z53)	Stone,Hide	Whirling Death,Naturalism	Ikkutiq,Mobyuld
net	A heavy mesh with barbed weights on the edge that could be used for fishing or ensnaring fugitives.	⍯	Ranged	Thrown	2	BLUNT	BLUNT	Flexible	Forceful	Sweep	Arc	Pound	Pin	Trip	Disable	4	0	0	6	6	3	4	0	2	1	1	=SUM(Q54:X54)+AA54+2*SUM(Y54:Z54)	Cloth	Whirling Death,Naturalism	Cheuritae,Hidzaajji
grenade	A precursor to other firearms, this is a container of shrapnel and blast powder that causes brutal damage when it works.	¤	Ranged	Projectile	2	PIERCING	SLASHING	Forceful	Precise	Burst	Arc	Heave	Powder	Slay	Bleed	0	9	0	6	3	0	0	4	2	2	0	=SUM(Q55:X55)+AA55+2*SUM(Y55:Z55)	Metal	Hurling	Khainghal,Cheuritae
handcannon	A simpler model of firearm that has advanced in parallel to the Musket, this weapon fires a shell in a very long arc.	ɼ	Ranged	Projectile	2	PIERCING	SLASHING	Forceful	Precise	Burst	Arc	Ricochet	Powder	Slay	Bleed	0	9	0	5	0	0	0	0	6	2	0	=SUM(Q56:X56)+AA56+2*SUM(Y56:Z56)	Metal	Foresight	Laathrik,Khainghal
throwing dagger	A well-balanced, light-weight knife that is primarily meant to be thrown, but is also usable in close combat in a pinch.	¹	Ranged	Thrown	1	PIERCING	PIERCING	Dueling	Precise	Multi	Straight	Blur	Thrust	Impale	Disable	4	2	2	6	3	0	0	3	3	0	4	=SUM(Q57:X57)+AA57+2*SUM(Y57:Z57)	Metal	Assassination,Hurling	Mobyuld,Khainghal
channeling orb	A small round crystal that a Mystic wielder can use to disrupt the energy flow of an enemy, or supplant a friend's.	●	Implement	Repeat	1	CRYSTAL	FATEFUL	Mystic	Mystic	Through	Straight	Pound	Shine	Confound	Energize	5	1	0	6	1	0	2	1	5	2	0	=SUM(Q58:X58)+AA58+2*SUM(Y58:Z58)	Inclusion	Sorcery,Foresight	Otekai,Elethian
mystic deck	A deck of many fortune-telling cards, each decorated with cryptic imagery; an interpretation can be used as a Mystic curse.	⍰	Implement	Repeat	2	FATEFUL	TEMPORAL	Mystic	Mystic	Multi	Straight	Weave	Hex	Curse	Favor	2	1	5	1	0	0	6	2	4	1	3	=SUM(Q59:X59)+AA59+2*SUM(Y59:Z59)	Paper	Sorcery,Hurling	Jalgeaux,Keungeuh
soul pyramid	A mysterious stone that seems fated to belong to a Mystic wielder; to such a bearer it grants esoteric powers.	⍙	Implement	Repeat	1	DEATH	PURE	Mystic	Mystic	Burst	Arc	Exorcise	Condemn	Silence	Curse	1	7	0	4	0	1	4	1	3	3	0	=SUM(Q60:X60)+AA60+2*SUM(Y60:Z60)	Stone	Sorcery,Foresight	Hidzaajji
fossil fang	A gift of the land to those who protect it, this massive stony tooth carries Primal power over rock and soil.	ɿ	Implement	Repeat	1	EARTH	PIERCING	Primal	Dueling	Through	Straight	Thrust	Seal	Trip	Impale	2	5	3	1	0	3	4	0	3	2	2	=SUM(Q61:X61)+AA61+2*SUM(Y61:Z61)	Stone	Sorcery,Naturalism	Mbegonda,Khainghal
green wreath	A garland of leaves that lives without soil or water thanks to a Primal blessing; it can grow thorny vines to attack.	◌	Implement	Repeat	0	PIERCING	PURE	Primal	Flexible	Multi	Arc	Exorcise	Pin	Afflict	Regenerate	2	1	1	2	0	0	4	6	4	1	4	=SUM(Q62:X62)+AA62+2*SUM(Y62:Z62)	Wood	Sorcery,Naturalism	Elethian
primeval shield	A hide shield inscribed with ancient symbols that beseech the land for protection; fiendish creatures shy away from it.	⊛	Implement	Repeat	1	BLUNT	FATEFUL	Primal	Bludgeon	Wave	Straight	Parry	Exorcise	Favor	Confound	2	1	0	3	7	6	6	0	0	2	1	=SUM(Q63:X63)+AA63+2*SUM(Y63:Z63)	Hide	Sorcery,Naturalism	Ikkutiq
holy symbol	When carried by a Blessed wielder, this sacred icon can issue shining judgment even when simply worn or carried.	ᵸ	Implement	Repeat	0	DIVINE	SHINING	Blessed	Blessed	Multi	Straight	Shine	Exorcise	Regenerate	Blind	4	4	0	4	0	0	5	0	3	2	3	=SUM(Q64:X64)+AA64+2*SUM(Y64:Z64)	Metal|Wood	Sorcery,Elegance	Hyrden,Cheuritae
sacred book	A ritually-purified holy text that serves to channel Blessed faith into waves of divine wrath against transgressors.	⍐	Implement	Repeat	2	PURE	DIVINE	Blessed	Blessed	Wave	Straight	Seal	Exorcise	Favor	Silence	3	5	0	3	0	1	5	0	3	3	1	=SUM(Q65:X65)+AA65+2*SUM(Y65:Z65)	Paper,Metal	Sorcery,Elegance	Zedmedov,Chobesh
prayer beads	A necklace made of hundreds of tiny stone beads; Blessed wielders can throw the beads to channel divine wrath at targets.	※	Implement	Repeat	1	DIVINE	LIGHTNING	Blessed	Blessed	Burst	Arc	Condemn	Shine	Blind	Slay	4	7	0	2	0	0	2	1	3	3	2	=SUM(Q66:X66)+AA66+2*SUM(Y66:Z66)	Stone	Sorcery,Hurling	Bididhayi,Hidzaajji
vile grimoire	An Occult wielder's best (or only) friend, this black book, bound in some kind of skin, can obliterate nearby enemies.	⍌	Implement	Repeat	2	SINISTER	ACID	Occult	Occult	Wave	Straight	Condemn	Hex	Afflict	Sizzle	2	8	0	5	0	0	0	0	4	3	1	=SUM(Q67:X67)+AA67+2*SUM(Y67:Z67)	Paper,Hide	Sorcery,Assassination	Krort,Hueztotli
black lantern	A rusted antique, this appears to be an ordinary lantern until lit with Occult magic, which makes it project a death ray.	⍎	Implement	Repeat	1	SHADOW	DEATH	Occult	Occult	Beam	Straight	Reveal	Hex	Curse	Slay	4	6	1	1	0	0	0	0	6	3	0	=SUM(Q68:X68)+AA68+2*SUM(Y68:Z68)	Inclusion,Metal	Sorcery,Assassination	Mobyuld
eldritch prism	A five-sided crystal shaft with motes of otherworldly light dancing inside it; Occult wielders can strike with this odd glow.	⬠	Implement	Repeat	2	RADIATION	SINISTER	Occult	Occult	Beam	Straight	Shine	Pound	Disable	Curse	6	3	0	4	0	2	0	0	5	2	1	=SUM(Q69:X69)+AA69+2*SUM(Y69:Z69)	Inclusion	Sorcery,Elegance	Ikkutiq
scholarly tome	A thick Arcane encyclopedia, laden with enchantments that can drive off enemies who come too close.	⌺	Implement	Repeat	2	CONTRACTUAL	ICE	Arcane	Arcane	Wave	Straight	Seal	Reveal	Silence	Confound	5	3	0	4	0	2	0	0	5	3	0	=SUM(Q70:X70)+AA70+2*SUM(Y70:Z70)	Paper,Hide	Sorcery,Foresight	Elethian,Hidzaajji
magus scepter	A strong effort by Arcane wielders to one-up firearms, this staff with various gems and sigils on it can fire energy blasts.	∤	Implement	Repeat	1	FIRE	RADIATION	Arcane	Bludgeon	Beam	Straight	Pound	Reveal	Sizzle	Slay	4	7	0	2	0	1	0	0	5	2	2	=SUM(Q71:X71)+AA71+2*SUM(Y71:Z71)	Wood,Inclusion	Sorcery,Marksmanship	Hueztotli,Ikkutiq
wizardly wand	A small but carefully-crafted wooden rod that enables Arcane wielders to manipulate magic strength in themselves and others.	ᶩ	Implement	Repeat	1	WATER	AIR	Arcane	Arcane	Beam	Straight	Seal	Hex	Disarm	Energize	5	2	1	6	0	0	0	4	4	0	4	=SUM(Q72:X72)+AA72+2*SUM(Y72:Z72)	Wood	Sorcery,Marksmanship	Jalgeaux,Keungeuh
Zedmedov style	The somber nation of Zedmedov uses unarmed combat to resist undead raiders that frequently tear through its land.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Parry	Brace	Disable	Slay	3	4	4	1	2	4	0	6	0	0	6	=SUM(Q73:X73)+AA73+2*SUM(Y73:Z73)		Martial Arts,Foresight	Zedmedov
Cheuritae style	The island conglomerate of Cheuritae favors unarmed combat that takes advantage of chaotic battlefields, such as ships.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Flowing	Multi	Straight	Lunge	Sweep	Trip	Confound	2	2	4	2	4	0	4	6	0	0	6	=SUM(Q74:X74)+AA74+2*SUM(Y74:Z74)		Martial Arts,Whirling Death	Cheuritae
Hyrden style	The proud state of Hyrden goes on crusades against monsters; they often mix swordplay with unarmed combat.	ɱ	Unarmed	Repeat	0	BLUNT	BLUNT	Brawling	Brawling	Multi	Straight	Blur	Sweep	Favor	Slay	3	3	2	3	2	1	4	6	0	0	6	=SUM(Q75:X75)+AA75+2*SUM(Y75:Z75)		Martial Arts,Swordplay	Hyrden
